gene_ENS	gene_OTT	gene_name	logFC	unshrunk.logFC	logCPM	PValue	FDR	gl
ENSMUSG00000032410.13	OTTMUSG00000047300.6	Xrn1	-0.312728174084388	-0.312772462512534	4.68844259259038	0.855394085371931	1	Not regulated
ENSMUSG00000041440.18	OTTMUSG00000031738.4	Gk5	-0.338287202612582	-0.339046467802695	0.771358134113593	0.70292604904328	1	Not regulated
ENSMUSG00000032411.15	OTTMUSG00000047569.6	Tfdp2	0.452342892286188	0.452576715423388	2.6971780165031	0.451707877875154	1	Not regulated
ENSMUSG00000032412.8	OTTMUSG00000047571.2	Atp1b3	0.151274976182103	0.151278764103687	6.79049818907551	0.994388546218009	1	Not regulated
ENSMUSG00000051234.6	OTTMUSG00000022972.2	Rnf7	-0.0826407492170368	-0.0826445007647819	6.69468544701826	0.999920813172539	1	Not regulated
ENSMUSG00000099564.2	OTTMUSG00000046498.2	Gm28729	0.194915149703398	0.194948495933137	3.68094563288046	0.991066195391685	1	Not regulated
ENSMUSG00000032413.12	OTTMUSG00000020654.4	Rasa2	0.959642808212719	0.960026037861647	3.52223869895919	0.000115293588480297	0.014314288645225	Up-regulated
ENSMUSG00000040433.16	OTTMUSG00000033697.5	Zbtb38	0.533561720989116	0.536836936526031	1.15880066752638	0.318860744135211	1	Not regulated
ENSMUSG00000043587.15	OTTMUSG00000027495.6	Pxylp1	0.191200094629795	0.191258907279922	2.9027281090844	0.99516278488706	1	Not regulated
ENSMUSG00000062933.7	OTTMUSG00000047872.1	Gm10123	-0.275268758965748	-0.276098182898633	0.554553563765722	0.622092774755155	1	Not regulated
ENSMUSG00000046997.5	OTTMUSG00000028991.4	Spsb4	-0.975228363040464	-0.979663503613803	-0.169535859715423	0.0223787472016983	0.532679613507028	Down-regulated
ENSMUSG00000032449.13	OTTMUSG00000031601.2	Slc25a36	0.0215186610148876	0.0215258926077162	4.0833738853288	0.99975311562683	1	Not regulated
ENSMUSG00000032451.6	OTTMUSG00000027421.3	Trim42	0.632722833838036	0.632990965512643	2.66612925912562	0.211019729685516	1	Not regulated
ENSMUSG00000090255.7	OTTMUSG00000032789.2	4921534H16Rik	-0.269323021623071	-0.269343809088797	4.69576217870678	0.833325160438096	1	Not regulated
ENSMUSG00000032456.13	OTTMUSG00000022653.5	Nmnat3	-1.10223829873319	-1.10241339499695	4.70140797077839	1.54570563779104e-06	0.000550209378828097	Down-regulated
ENSMUSG00000046402.10	OTTMUSG00000047579.3	Rbp1	0.696952385766661	0.705313565125589	-0.167616246521359	0.158190209847049	1	Not regulated
ENSMUSG00000051074.4	OTTMUSG00000047582.2	4930579K19Rik	0.0632481690669519	0.0633642284459674	0.884098849071352	0.985074039880355	1	Not regulated
ENSMUSG00000032458.6	OTTMUSG00000047583.3	Copb2	-0.160638530185517	-0.160650856424468	6.03607599437838	0.999500460611543	1	Not regulated
ENSMUSG00000032459.9	OTTMUSG00000047584.1	Mrps22	0.0488229038839233	0.0488271100811936	5.42495611326162	0.999999130987411	1	Not regulated
ENSMUSG00000032463.10	OTTMUSG00000048179.3	Faim	0.0157837392804152	0.0158141200169315	3.04976732705649	0.980653402061126	1	Not regulated
ENSMUSG00000032462.14	OTTMUSG00000021081.5	Pik3cb	-0.432758255803546	-0.432929450426394	4.6548304964878	0.853900222255217	1	Not regulated
ENSMUSG00000096316.7	OTTMUSG00000048432.2	Faiml	0.0751004853275233	0.0751783148463036	1.51797240049828	0.974518305218395	1	Not regulated
ENSMUSG00000103638.1	OTTMUSG00000048232.1	Gm38327	-0.0568312132825622	-0.0568601198267423	2.73879350079496	0.991128559044001	1	Not regulated
ENSMUSG00000056267.14	OTTMUSG00000048233.4	Cep70	-0.0965351280195285	-0.0965445020099213	5.97629205495895	0.999956163270552	1	Not regulated
ENSMUSG00000100281.1	OTTMUSG00000048802.1	4930422M22Rik	0.221962812150716	0.221999490857093	3.5791390129644	0.900120250556212	1	Not regulated
ENSMUSG00000103857.1	OTTMUSG00000048234.1	Gm37249	-0.439036139490336	-0.441039564022051	0.434766153917951	0.455793712464153	1	Not regulated
ENSMUSG00000037681.13	OTTMUSG00000048235.5	Esyt3	0.107296626051088	0.107441559418372	1.11702735897934	0.855825965739584	1	Not regulated
ENSMUSG00000032470.17	OTTMUSG00000029468.7	Mras	0.376224674079709	0.376315103617982	3.39985006756127	0.852660503216023	1	Not regulated
ENSMUSG00000046242.8	OTTMUSG00000047910.2	Nme9	0.440745216014132	0.443489089991889	0.0814000254753793	0.435897252536876	1	Not regulated
ENSMUSG00000032468.11	OTTMUSG00000048237.2	Armc8	-0.115994979711358	-0.116009934296231	5.45676324496746	0.999406998476539	1	Not regulated
ENSMUSG00000032469.12	OTTMUSG00000034138.3	Dbr1	0.265274852084717	0.266262907489225	1.23045692309033	0.751836930450138	1	Not regulated
ENSMUSG00000110929.1	OTTMUSG00000063259.1	Gm47757	0.295330395156718	0.296752187865614	-0.709504285664611	0.595158428864234	1	Not regulated
ENSMUSG00000101584.2	OTTMUSG00000048240.2	4930519F24Rik	-0.0874182125518603	-0.0874853033150132	1.33240928905286	0.952510122676628	1	Not regulated
ENSMUSG00000101042.1	OTTMUSG00000049146.1	Gm28167	-0.573877839371789	-0.578486439917373	0.808418077671273	0.269782464119473	1	Not regulated
ENSMUSG00000044244.18	OTTMUSG00000027484.2	Il20rb	-0.196379161064882	-0.196750181322496	1.69539833126645	0.811330661335333	1	Not regulated
ENSMUSG00000032475.15	OTTMUSG00000021049.5	Nck1	-0.351893088270177	-0.351955938393515	5.44888259764545	0.687766377402428	1	Not regulated
ENSMUSG00000070287.3	OTTMUSG00000048291.2	Slc35g2	-0.251793990160088	-0.252578099191822	-0.496261617767147	0.683971248646863	1	Not regulated
ENSMUSG00000037286.15	OTTMUSG00000034031.4	Stag1	0.0658099503005083	0.0658175496683419	5.40969832889914	0.993123844152342	1	Not regulated
